
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2026-06-25T16:19:53Z,,18.345337109640241,-64.692503493279219,18.346646865829825,-64.690946387127042,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,
,,103,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050103.JPG,
,,104,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050104.JPG,
,,105,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050105.JPG,
,,106,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050106.JPG,
,,107,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050107.JPG,
,,108,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050108.JPG,
,,109,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050109.JPG,
,,110,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050110.JPG,
,,111,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050111.JPG,
,,112,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050112.JPG,
,,113,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050113.JPG,
,,114,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050114.JPG,
,,115,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050115.JPG,
,,116,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050116.JPG,
,,117,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050117.JPG,
,,118,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050118.JPG,
,,119,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050119.JPG,
,,120,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050120.JPG,
,,121,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050121.JPG,
,,122,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050122.JPG,
,,123,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050123.JPG,
,,124,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050124.JPG,
,,125,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050125.JPG,
,,126,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050126.JPG,
,,127,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050127.JPG,
,,128,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050128.JPG,
,,129,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050129.JPG,
,,130,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050130.JPG,
,,131,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050131.JPG,
,,132,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050132.JPG,
,,133,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050133.JPG,
,,134,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050134.JPG,
,,135,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050135.JPG,
,,136,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050136.JPG,
,,137,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050137.JPG,
