project_folder,photo_filename,colony_id,class,substrate,area_cm2,perimeter_cm,length_cm,width_cm
nathaniel_Black_NB_2-4-26,P2040151,0,PDIG,M,1.982,5.862,2.02,1.513
nathaniel_Black_NB_2-4-26,P2040153,0,PDIG,M,5.278,11.984,3.514,2.809
nathaniel_Black_NB_2-4-26,P2040155,0,SSID,M,17.441,17.639,5.368,4.981
nathaniel_Black_NB_2-4-26,P2040157,0,SSID,M,20.966,19.3,6.085,5.394
nathaniel_Black_NB_2-4-26,P2040157,1,SSID,M,0.613,3.725,1.082,0.955
nathaniel_Black_NB_2-4-26,P2040160,0,SRAD,M,6.364,10.679,3.266,2.631
nathaniel_Black_NB_2-4-26,P2040162,0,SRAD,M,0.7,3.339,1.012,1.007
nathaniel_Black_NB_2-4-26,P2040162,1,SRAD,M,7.785,13.409,4.085,3.165
nathaniel_Black_NB_2-4-26,P2040164,0,SRAD,M,5.589,9.446,2.792,2.746
nathaniel_Black_NB_2-4-26,P2040164,1,SRAD,M,0.209,1.871,0.616,0.573
nathaniel_Black_NB_2-4-26,P2040166,0,SRAD,M,3.532,7.733,2.421,2.193
nathaniel_Black_NB_2-4-26,P2040167,0,SRAD,U,6.097,9.874,3.488,2.48
nathaniel_Black_NB_2-4-26,P2040169,0,SRAD,M,1.18,4.529,1.498,1.221
nathaniel_Black_NB_2-4-26,P2040170,0,SRAD,U,11.591,13.867,4.51,3.933
nathaniel_Black_NB_2-4-26,P2040171,0,SRAD,U,5.901,10.018,3.071,2.779
nathaniel_Black_NB_2-4-26,P2040172,0,SRAD,U,2.608,6.927,2.083,1.861
nathaniel_Black_NB_2-4-26,P2040173,0,SRAD,U,5.56,9.953,3.173,2.759
nathaniel_Black_NB_2-4-26,P2040175,0,SRAD,M,2.738,6.995,2.025,1.984
nathaniel_Black_NB_2-4-26,P2040177,0,SRAD,M,3.289,8.071,2.552,2.226
nathaniel_Black_NB_2-4-26,P2040179,0,SRAD,M,9.549,12.539,4.334,3.326
nathaniel_Black_NB_2-4-26,P2040180,0,SRAD,M,7.312,11.784,3.626,3.252
nathaniel_Black_NB_2-4-26,P2040181,0,SRAD,M,9.406,14.039,4.632,3.349
nathaniel_Black_NB_2-4-26,P2040182,0,SRAD,M,3.089,7.044,2.216,2.028
nathaniel_Black_NB_2-4-26,P2040183,0,SRAD,M,11.185,14.315,4.4,4.066
nathaniel_Black_NB_2-4-26,P2040185,0,SRAD,D,15.75,15.772,4.648,4.476
nathaniel_Black_NB_2-4-26,P2040187,0,SRAD,D,15.757,18.324,5.242,4.73
nathaniel_Black_NB_2-4-26,P2040189,0,SRAD,M,7.404,12.89,4.489,3.29
nathaniel_Black_NB_2-4-26,P2040191,0,SRAD,M,20.215,21.951,5.751,5.522
nathaniel_Black_NB_2-4-26,P2040193,0,SRAD,M,4.858,9.021,2.868,2.474
nathaniel_Black_NB_2-4-26,P2040195,0,SRAD,D,14.232,17.707,5.276,4.216
nathaniel_Black_NB_2-4-26,P2040197,0,SRAD,M,8.081,11.79,3.699,3.249
nathaniel_Black_NB_2-4-26,P2040199,0,SRAD,M,22.524,18.992,5.96,4.92
nathaniel_Black_NB_2-4-26,P2040201,0,SRAD,M,7.877,11.696,3.601,3.259
nathaniel_Black_NB_2-4-26,P2040203,0,SRAD,M,28.468,21.463,6.24,6.108
nathaniel_Black_NB_2-4-26,P2040205,0,SRAD,D,7.393,13.759,4.906,1.989
nathaniel_Black_NB_2-4-26,P2040207,0,SRAD,D,3.351,7.843,2.34,2.211
nathaniel_Black_NB_2-4-26,P2040209,0,SRAD,D,26.032,20.565,6.278,5.952
nathaniel_Black_NB_2-4-26,P2040211,0,PDIG,D,18.816,19.592,5.735,5.076
nathaniel_Black_NB_2-4-26,P2040213,0,SRAD,D,2.34,6.079,1.975,1.694
nathaniel_Black_NB_2-4-26,P2040215,0,SRAD,D,0.866,5.571,1.757,1.054
nathaniel_Black_NB_2-4-26,P2040217,0,SRAD,D,1.676,5.455,1.835,1.302
nathaniel_Black_NB_2-4-26,P2040219,0,SRAD,D,1438.53,158.67,48.5,48.2
nathaniel_Black_NB_2-4-26,P2040221,0,SRAD,D,5100.7,277.98,84.5,77.0
nathaniel_Black_NB_2-4-26,P2040223,0,SRAD,D,3001.94,244.61,70.4,62.7
nathaniel_Black_NB_2-4-26,P2040225,0,SRAD,D,1206.43,152.97,48.3,42.2
